Freq,Normalised Spectra,velocity,Vlsr,V_LSRK,fit_X,fit_Y,Power_corrected,Normalised Power,a,b,c,,Vlsr,,expected
1419.804,0.003834163,126.75,130.555,,117.035,0.013522826,-1.18E-02,-1.21E-02,,,,,-345.21,0,0
1419.812,0.013998428,125.06,128.865,,115.345,0.018488037,-1.74E-03,-1.78E-03,,,,,-344.18,0,0
1419.82,0.004934598,123.37,127.175,,113.655,0.011536034,-1.09E-02,-1.12E-02,,,,,-343.15,0,0
1419.828,0.017705667,121.68,125.485,,111.965,0.000618154,1.80E-03,1.85E-03,,,,,-342.12,0,0
1419.836,0.008571452,119.99,123.795,,110.275,0.009747217,-7.41E-03,-7.60E-03,,,,,-341.09,0,0
1419.844,0.009575554,118.3,122.105,,108.585,0.011988134,-6.50E-03,-6.66E-03,,,,,-340.06,0,0
1419.852,0.01200386,116.61,120.415,,106.895,0.016540737,-4.15E-03,-4.26E-03,,,,,-339.03,0,0
1419.86,0.018796885,114.92,118.725,,105.205,0.012864863,2.55E-03,2.62E-03,,,,,-338,0,0
1419.868,0.013522826,113.23,117.035,,103.515,0.022645959,-2.81E-03,-2.89E-03,,,,,-336.97,0,0
1419.876,0.018488037,111.54,115.345,,101.825,0.013962434,2.06E-03,2.11E-03,,,,,-335.94,0.01,0.0001558360605
1419.884,0.011536034,109.85,113.655,,100.135,0.022639002,-4.98E-03,-5.11E-03,,,,,-334.91,0.01,0.0001558360605
1419.892,0.000618154,108.16,111.965,,98.445,0.008830596,-1.60E-02,-1.64E-02,,,,,-333.88,0.01,0.0001558360605
1419.9,0.009747217,106.47,110.275,,96.755,0.020674423,-6.96E-03,-7.14E-03,,,,,-332.85,0,0
1419.908,0.011988134,104.78,108.585,,95.065,0.014948973,-4.81E-03,-4.93E-03,,,,,-331.82,0,0
1419.916,0.016540737,103.09,106.895,,93.375,0.020439943,-3.55E-04,-3.64E-04,,,,,-330.79,0,0
1419.924,0.012864863,101.4,105.205,,91.685,0.005239802,-4.13E-03,-4.23E-03,,,,,-329.76,0,0
1419.932,0.022645959,99.71,103.515,,89.995,0.018434936,5.55E-03,5.70E-03,,,,,-328.73,0,0
1419.94,0.013962434,98.02,101.825,,88.305,0.011263927,-3.23E-03,-3.31E-03,,,,,-327.7,0,0
1419.948,0.022639002,96.33,100.135,,86.615,0.019485744,5.35E-03,5.48E-03,,,,,-326.67,0,0
1419.956,0.008830596,94.64,98.445,,84.925,0.012951753,-8.56E-03,-8.78E-03,,,,,-325.63,0,0
1419.964,0.020674423,92.95,96.755,,83.235,0.01505221,3.18E-03,3.26E-03,,,,,-324.6,0,0
1419.972,0.014948973,91.26,95.065,,81.545,0.029484999,-2.65E-03,-2.72E-03,,,,,-323.57,0,0
1419.98,0.020439943,89.57,93.375,,79.855,0.023751729,2.73E-03,2.80E-03,,,,,-322.54,0,0
1419.988,0.005239802,87.88,91.685,,78.165,0.019687025,-1.26E-02,-1.29E-02,,,,,-321.51,0,0
1419.996,0.018434936,86.19,89.995,,76.475,0.019638658,5.15E-04,5.28E-04,,,,,-320.48,0,0
1420.004,0.011263927,84.5,88.305,,-68.865,0.040845882,-6.77E-03,-6.94E-03,,,,,-319.45,0,0
1420.012,0.019485744,82.81,86.615,,-70.555,0.045477505,1.35E-03,1.38E-03,,,,,-318.42,0,0
1420.02,0.012951753,81.12,84.925,,-72.245,0.043234081,-5.30E-03,-5.43E-03,,,,,-317.39,0,0
1420.028,0.01505221,79.43,83.235,,-73.935,0.036091995,-3.31E-03,-3.39E-03,,,,,-316.36,0,0
1420.036,0.029484999,77.74,81.545,,-75.625,0.0413671,1.10E-02,1.13E-02,,,,,-315.33,0,0
1420.044,0.023751729,76.05,79.855,,-77.315,0.033959416,5.16E-03,5.29E-03,,,,,-314.3,0,0
1420.052,0.019687025,74.36,78.165,,-79.005,0.041259583,9.82E-04,1.01E-03,,,,,-313.27,0,0
1420.06,0.019638658,72.67,76.475,,-80.695,0.037497071,8.16E-04,8.37E-04,,,,,-312.24,0,0
1420.068,0.016890691,70.98,74.785,,-82.385,0.036374638,-2.05E-03,-2.10E-03,,,,,-311.21,0,0
1420.076,0.013130089,69.29,73.095,,-84.075,0.044382068,-5.93E-03,-6.08E-03,,,,,-310.18,0,0
1420.084,0.011561646,67.6,71.405,,-85.765,0.038435089,-7.62E-03,-7.81E-03,,,,,-309.15,0,0
1420.092,0.019933876,65.91,69.715,,-87.455,0.041709457,6.33E-04,6.50E-04,,,,,-308.12,0,0
1420.1,0.017637786,64.22,68.025,,-89.145,0.039610793,-1.79E-03,-1.83E-03,,,,,-307.09,0,0
1420.108,0.023927419,62.53,66.335,,-90.835,0.043456224,4.38E-03,4.49E-03,,,,,-306.06,0,0
1420.116,0.028060932,60.84,64.645,,-92.525,0.040202573,8.39E-03,8.60E-03,,,,,-305.03,0,0
1420.124,0.011475363,59.15,62.955,,-94.215,0.036086273,-8.32E-03,-8.53E-03,,,,,-303.99,0,0
1420.132,0.017805641,57.46,61.265,,-95.905,0.041216512,-2.12E-03,-2.17E-03,,,,,-302.96,0,0
1420.14,0.026737353,55.77,59.575,,-97.595,0.048503671,6.69E-03,6.86E-03,,,,,-301.93,0,0
1420.148,0.026371368,54.08,57.885,,-99.285,0.038901324,6.19E-03,6.35E-03,,,,,-300.9,0,0
1420.156,0.028162202,52.39,56.195,,-100.975,0.030866181,7.85E-03,8.05E-03,,,,,-299.87,0,0
1420.164,0.027715722,50.7,54.505,,-102.665,0.041613806,7.27E-03,7.46E-03,,,,,-298.84,0,0
1420.172,0.030547201,49.01,52.815,,-104.355,0.036784452,9.97E-03,1.02E-02,,,,,-297.81,0,0
1420.18,0.039611782,47.32,51.125,,-106.045,0.051362238,1.89E-02,1.94E-02,,,,,-296.78,0,0
1420.188,0.035172241,45.63,49.435,,-107.735,0.03737089,1.43E-02,1.47E-02,,,,,-295.75,0,0
1420.196,0.042226249,43.94,47.745,,-109.425,0.034945898,2.12E-02,2.18E-02,,,,,-294.72,0,0
1420.204,0.051414753,42.25,46.055,,-111.115,0.039638028,3.03E-02,3.11E-02,,,,,-293.69,0,0
1420.212,0.044946108,40.56,44.365,,-112.805,0.033340802,2.37E-02,2.43E-02,,,,,-292.66,0,0
1420.22,0.050056615,38.87,42.675,,-114.495,0.041537142,2.87E-02,2.94E-02,,,,,-291.63,0,0
1420.228,0.05862149,37.18,40.985,,-116.185,0.045738968,3.71E-02,3.80E-02,,,,,-290.6,0,0
1420.236,0.059028597,35.49,39.295,,-117.875,0.045359952,3.73E-02,3.83E-02,,,,,-289.57,0,0
1420.244,0.076878516,33.8,37.605,,-119.565,0.031049562,5.51E-02,5.65E-02,,,,,-288.54,0,0
1420.252,0.083996003,32.11,35.915,,-121.255,0.040883828,6.20E-02,6.36E-02,,,,,-287.51,0,0
1420.26,0.103631846,30.42,34.225,,-122.945,0.039787341,8.15E-02,8.36E-02,,,,,-286.48,0,0
1420.268,0.106654992,28.73,32.535,,-124.635,0.04240253,8.44E-02,8.66E-02,,,,,-285.45,0,0
1420.276,0.130234538,27.04,30.845,,-126.325,0.043533747,1.08E-01,1.11E-01,,,,,-284.42,0,0
