Velocity,23.0 deg,10.0 deg
km/s, K, K
 -345.1,-0.00,-0.00
 -343.9,-0.00,-0.01
 -342.6,-0.00,-0.00
 -341.3, 0.00,-0.00
 -340.0,-0.00,-0.00
 -338.7, 0.00,-0.00
 -337.4, 0.00, 0.00
 -336.1, 0.00, 0.00
 -334.8,-0.00,-0.00
 -333.5,-0.00,-0.00
 -332.3, 0.00,-0.00
 -331.0, 0.00,-0.00
 -329.7, 0.00, 0.00
 -328.4, 0.00, 0.00
 -327.1, 0.00,-0.00
 -325.8, 0.00,-0.00
 -324.5, 0.00,-0.00
 -323.2, 0.00,-0.00
 -322.0, 0.00, 0.00
 -320.7, 0.00, 0.00
 -319.4, 0.00, 0.00
 -318.1,-0.00,-0.00
 -316.8,-0.00,-0.00
 -315.5,-0.00,-0.00
 -314.2, 0.00,-0.00
 -312.9, 0.00,-0.00
 -311.6, 0.00,-0.00
 -310.4, 0.00,-0.00
 -309.1, 0.00,-0.00
 -307.8,-0.00,-0.00
 -306.5, 0.00,-0.00
 -305.2, 0.00,-0.00
 -303.9, 0.00,-0.00
 -302.6, 0.00,-0.00
 -301.3, 0.00,-0.00
 -300.1,-0.00,-0.00
 -298.8, 0.00,-0.00
 -297.5, 0.00,-0.00
 -296.2,-0.00,-0.00
 -294.9, 0.00, 0.00
 -293.6,-0.00, 0.00
 -292.3, 0.00, 0.00
 -291.0, 0.00, 0.00
 -289.7, 0.00, 0.00
 -288.5, 0.00, 0.00
 -287.2, 0.00, 0.00
 -285.9, 0.00, 0.00
 -284.6, 0.00, 0.01
 -283.3, 0.00, 0.00
 -282.0, 0.00, 0.00
 -280.7, 0.00, 0.00
 -279.4, 0.00, 0.01
 -278.2, 0.00, 0.00
 -276.9, 0.00, 0.00
 -275.6, 0.00, 0.00
 -274.3, 0.00, 0.00
 -273.0, 0.00, 0.00
 -271.7, 0.00, 0.00
 -270.4, 0.00, 0.00
 -269.1, 0.00, 0.00
 -267.8, 0.00, 0.00
 -266.6, 0.00, 0.00
 -265.3, 0.00, 0.00
 -264.0, 0.00, 0.00
 -262.7, 0.00,-0.00
 -261.4, 0.00, 0.00
 -260.1, 0.00, 0.00
 -258.8, 0.00,-0.00
 -257.5, 0.00, 0.00
 -256.3, 0.00,-0.00
 -255.0, 0.00, 0.00
 -253.7, 0.00, 0.00
 -252.4, 0.00, 0.00
 -251.1, 0.00, 0.00
 -249.8, 0.00, 0.00
 -248.5, 0.00, 0.00
 -247.2, 0.00, 0.00
 -245.9, 0.00, 0.00
 -244.7, 0.00, 0.00
 -243.4, 0.00, 0.00
 -242.1, 0.00, 0.00
 -240.8, 0.00, 0.00
 -239.5, 0.00, 0.00
 -238.2, 0.00, 0.00
 -236.9, 0.00, 0.01
 -235.6, 0.00, 0.00
 -234.4, 0.00, 0.00
 -233.1, 0.00, 0.01
 -231.8, 0.00, 0.01
 -230.5, 0.00, 0.00
 -229.2, 0.00, 0.00
 -227.9, 0.00, 0.01
 -226.6, 0.00, 0.01
 -225.3, 0.00, 0.01
 -224.0, 0.00, 0.01
 -222.8, 0.00, 0.01
 -221.5, 0.00, 0.01
 -220.2, 0.00, 0.01
 -218.9, 0.01, 0.02
 -217.6, 0.01, 0.02
 -216.3, 0.01, 0.02
 -215.0, 0.01, 0.03
 -213.7, 0.01, 0.03
 -212.5, 0.01, 0.04
 -211.2, 0.02, 0.05
 -209.9, 0.02, 0.05
 -208.6, 0.02, 0.06
 -207.3, 0.02, 0.06
 -206.0, 0.02, 0.07
 -204.7, 0.03, 0.08
 -203.4, 0.03, 0.09
 -202.1, 0.03, 0.09
 -200.9, 0.03, 0.10
 -199.6, 0.03, 0.10
 -198.3, 0.04, 0.11
 -197.0, 0.04, 0.11
 -195.7, 0.04, 0.12
 -194.4, 0.04, 0.12
 -193.1, 0.04, 0.13
 -191.8, 0.04, 0.13
 -190.6, 0.04, 0.13
 -189.3, 0.04, 0.14
 -188.0, 0.04, 0.14
 -186.7, 0.05, 0.14
 -185.4, 0.04, 0.13
 -184.1, 0.04, 0.13
 -182.8, 0.04, 0.13
 -181.5, 0.04, 0.13
 -180.2, 0.04, 0.13
 -179.0, 0.04, 0.12
 -177.7, 0.04, 0.12
 -176.4, 0.04, 0.11
 -175.1, 0.03, 0.10
 -173.8, 0.03, 0.10
 -172.5, 0.03, 0.10
 -171.2, 0.03, 0.09
 -169.9, 0.03, 0.09
 -168.7, 0.03, 0.09
 -167.4, 0.03, 0.08
 -166.1, 0.03, 0.08
 -164.8, 0.02, 0.08
 -163.5, 0.03, 0.07
 -162.2, 0.02, 0.07
 -160.9, 0.02, 0.07
 -159.6, 0.02, 0.06
 -158.3, 0.02, 0.06
 -157.1, 0.02, 0.06
 -155.8, 0.02, 0.05
 -154.5, 0.02, 0.05
 -153.2, 0.02, 0.05
 -151.9, 0.02, 0.05
 -150.6, 0.02, 0.05
 -149.3, 0.02, 0.04
 -148.0, 0.02, 0.04
 -146.8, 0.02, 0.04
 -145.5, 0.02, 0.03
 -144.2, 0.02, 0.04
 -142.9, 0.02, 0.03
 -141.6, 0.02, 0.04
 -140.3, 0.02, 0.03
 -139.0, 0.02, 0.03
 -137.7, 0.02, 0.03
 -136.4, 0.02, 0.03
 -135.2, 0.02, 0.03
 -133.9, 0.02, 0.03
 -132.6, 0.02, 0.03
 -131.3, 0.02, 0.02
 -130.0, 0.02, 0.02
 -128.7, 0.02, 0.02
 -127.4, 0.03, 0.02
 -126.1, 0.03, 0.02
 -124.9, 0.03, 0.02
 -123.6, 0.03, 0.02
 -122.3, 0.03, 0.02
 -121.0, 0.04, 0.02
 -119.7, 0.04, 0.02
 -118.4, 0.04, 0.02
 -117.1, 0.04, 0.02
 -115.8, 0.04, 0.02
 -114.6, 0.05, 0.02
 -113.3, 0.05, 0.01
 -112.0, 0.05, 0.01
 -110.7, 0.05, 0.01
 -109.4, 0.05, 0.02
 -108.1, 0.06, 0.02
 -106.8, 0.05, 0.02
 -105.5, 0.06, 0.02
 -104.2, 0.06, 0.02
 -103.0, 0.06, 0.02
 -101.7, 0.06, 0.02
 -100.4, 0.06, 0.02
  -99.1, 0.06, 0.02
  -97.8, 0.07, 0.02
  -96.5, 0.07, 0.02
  -95.2, 0.07, 0.03
  -93.9, 0.08, 0.03
  -92.7, 0.08, 0.03
  -91.4, 0.09, 0.03
  -90.1, 0.09, 0.04
  -88.8, 0.10, 0.04
  -87.5, 0.10, 0.04
  -86.2, 0.11, 0.04
  -84.9, 0.12, 0.05
  -83.6, 0.13, 0.05
  -82.3, 0.13, 0.05
  -81.1, 0.14, 0.06
  -79.8, 0.16, 0.06
  -78.5, 0.17, 0.07
  -77.2, 0.18, 0.08
  -75.9, 0.19, 0.08
  -74.6, 0.20, 0.08
  -73.3, 0.21, 0.08
  -72.0, 0.22, 0.09
  -70.8, 0.24, 0.10
  -69.5, 0.25, 0.11
  -68.2, 0.27, 0.12
  -66.9, 0.30, 0.14
  -65.6, 0.32, 0.15
  -64.3, 0.35, 0.17
  -63.0, 0.38, 0.19
  -61.7, 0.42, 0.21
  -60.4, 0.45, 0.24
  -59.2, 0.49, 0.27
  -57.9, 0.54, 0.30
  -56.6, 0.59, 0.34
  -55.3, 0.65, 0.38
  -54.0, 0.72, 0.43
  -52.7, 0.80, 0.49
  -51.4, 0.90, 0.56
  -50.1, 1.00, 0.63
  -48.9, 1.11, 0.72
  -47.6, 1.23, 0.82
  -46.3, 1.35, 0.94
  -45.0, 1.47, 1.08
  -43.7, 1.60, 1.25
  -42.4, 1.74, 1.45
  -41.1, 1.92, 1.68
  -39.8, 2.11, 1.95
  -38.5, 2.33, 2.26
  -37.3, 2.59, 2.62
  -36.0, 2.91, 3.04
  -34.7, 3.27, 3.50
  -33.4, 3.64, 3.97
  -32.1, 4.03, 4.41
  -30.8, 4.44, 4.85
  -29.5, 4.89, 5.31
  -28.2, 5.37, 5.78
  -27.0, 5.89, 6.26
  -25.7, 6.48, 6.77
  -24.4, 7.15, 7.30
  -23.1, 7.91, 7.89
  -21.8, 8.81, 8.53
  -20.5, 9.83, 9.27
  -19.2,10.94,10.10
  -17.9,12.08,11.04
  -16.6,13.25,12.09
  -15.4,14.53,13.34
  -14.1,15.93,14.79
  -12.8,17.47,16.51
  -11.5,19.18,18.54
  -10.2,21.06,20.90
   -8.9,23.21,23.67
   -7.6,25.71,26.95
   -6.3,28.59,30.85
   -5.1,31.99,35.63
   -3.8,35.94,41.36
   -2.5,40.24,47.93
   -1.2,44.76,55.06
    0.1,49.36,62.02
    1.4,53.50,67.64
    2.7,56.57,70.93
    4.0,58.64,72.34
    5.3,59.99,72.53
    6.5,60.49,72.06
    7.8,59.18,70.95
    9.1,54.55,66.01
   10.4,47.19,55.93
   11.7,38.80,44.06
   13.0,30.67,33.06
   14.3,24.21,24.60
   15.6,19.71,18.70
   16.8,16.50,14.50
   18.1,14.02,11.35
   19.4,12.00, 8.89
   20.7,10.36, 6.98
   22.0, 8.97, 5.49
   23.3, 7.77, 4.33
   24.6, 6.72, 3.43
   25.9, 5.80, 2.71
   27.2, 4.99, 2.14
   28.4, 4.30, 1.70
   29.7, 3.71, 1.34
   31.0, 3.22, 1.06
   32.3, 2.80, 0.85
   33.6, 2.44, 0.68
   34.9, 2.12, 0.55
   36.2, 1.84, 0.44
   37.5, 1.60, 0.36
   38.7, 1.38, 0.29
   40.0, 1.20, 0.24
   41.3, 1.05, 0.20
   42.6, 0.90, 0.17
   43.9, 0.78, 0.14
   45.2, 0.67, 0.12
   46.5, 0.58, 0.11
   47.8, 0.50, 0.09
   49.1, 0.43, 0.08
   50.3, 0.36, 0.07
   51.6, 0.31, 0.06
   52.9, 0.25, 0.06
   54.2, 0.21, 0.05
   55.5, 0.18, 0.04
   56.8, 0.15, 0.04
   58.1, 0.12, 0.03
   59.4, 0.10, 0.03
   60.6, 0.09, 0.03
   61.9, 0.07, 0.02
   63.2, 0.06, 0.02
   64.5, 0.05, 0.02
   65.8, 0.04, 0.01
   67.1, 0.04, 0.01
   68.4, 0.03, 0.01
   69.7, 0.03, 0.01
   71.0, 0.02, 0.01
   72.2, 0.02, 0.00
   73.5, 0.01, 0.00
   74.8, 0.01, 0.00
   76.1, 0.01, 0.00
   77.4, 0.01,-0.00
   78.7, 0.01,-0.00
   80.0, 0.01,-0.00
   81.3, 0.01,-0.00
   82.5, 0.00,-0.00
   83.8, 0.00,-0.00
   85.1, 0.00,-0.00
   86.4, 0.00,-0.01
   87.7, 0.00,-0.00
   89.0, 0.00,-0.00
   90.3, 0.00, 0.00
   91.6, 0.00, 0.00
   92.9, 0.00,-0.00
   94.1, 0.00,-0.00
   95.4, 0.00,-0.00
   96.7, 0.00,-0.00
   98.0, 0.01, 0.01
   99.3, 0.01, 0.01
  100.6, 0.01, 0.02
  101.9, 0.01, 0.01
  103.2, 0.01, 0.02
  104.4, 0.00, 0.01
  105.7, 0.00, 0.00
  107.0, 0.00,-0.00
  108.3, 0.00,-0.00
  109.6, 0.00,-0.00
  110.9, 0.00,-0.00
  112.2, 0.00,-0.00
  113.5, 0.00, 0.00
  114.8, 0.00, 0.00
  116.0, 0.00, 0.00
  117.3, 0.00, 0.00
  118.6, 0.00, 0.01
  119.9, 0.00, 0.01
  121.2, 0.00, 0.01
  122.5, 0.00, 0.01
  123.8, 0.00, 0.00
  125.1, 0.00, 0.00
  126.3, 0.00, 0.00
  127.6, 0.00,-0.00
  128.9, 0.00, 0.00
  130.2, 0.00, 0.00
  131.5, 0.00, 0.00
  132.8, 0.00,-0.00
  134.1, 0.00, 0.00
  135.4, 0.00, 0.01
  136.7, 0.00, 0.00
  137.9, 0.00,-0.00
  139.2, 0.00, 0.00
  140.5, 0.00, 0.00
  141.8, 0.00, 0.00
  143.1, 0.00, 0.00
  144.4, 0.00, 0.00
  145.7, 0.00, 0.00
  147.0, 0.00, 0.00
  148.2, 0.00,-0.00
  149.5, 0.00, 0.00
  150.8, 0.00, 0.00
  152.1, 0.00,-0.00
  153.4, 0.00, 0.00
  154.7, 0.00,-0.00
  156.0, 0.00,-0.00
  157.3, 0.00,-0.00
  158.6, 0.00, 0.00
  159.8,-0.00,-0.00
  161.1, 0.00, 0.00
  162.4, 0.00, 0.00
  163.7, 0.00,-0.00
  165.0, 0.00,-0.00
  166.3, 0.00, 0.00
  167.6, 0.00, 0.00
  168.9, 0.00, 0.00
  170.1, 0.00,-0.00
  171.4, 0.00, 0.00
  172.7,-0.00,-0.00
  174.0,-0.00,-0.00
  175.3,-0.00,-0.00
  176.6,-0.00,-0.00
  177.9,-0.00, 0.00
  179.2, 0.00, 0.00
  180.5,-0.00,-0.00
  181.7,-0.00,-0.00
  183.0, 0.00,-0.00
  184.3,-0.00,-0.00
  185.6,-0.00,-0.00
  186.9,-0.00,-0.00
  188.2, 0.00,-0.00
  189.5,-0.00,-0.00
  190.8,-0.00,-0.00
  192.0,-0.00,-0.00
  193.3,-0.00,-0.00
  194.6,-0.00, 0.00
  195.9, 0.00, 0.00
  197.2,-0.00,-0.00
  198.5, 0.00, 0.00
  199.8,-0.00,-0.00
  201.1, 0.00,-0.00
  202.4,-0.00,-0.00
  203.6,-0.00,-0.00
  204.9,-0.00,-0.00
  206.2, 0.00,-0.00
  207.5, 0.00, 0.00
  208.8, 0.00, 0.00
  210.1, 0.00, 0.00
  211.4, 0.00, 0.00
  212.7, 0.00, 0.00
  213.9, 0.00, 0.00
  215.2, 0.00, 0.00
  216.5, 0.00, 0.00
  217.8, 0.00, 0.00
  219.1, 0.00,-0.00
  220.4, 0.00, 0.00
  221.7, 0.00, 0.00
  223.0, 0.00, 0.00
  224.3, 0.00, 0.00
  225.5, 0.00, 0.00
  226.8, 0.00, 0.00
  228.1, 0.00, 0.00
  229.4, 0.00, 0.00
  230.7, 0.00, 0.00
  232.0, 0.00, 0.00
  233.3, 0.00, 0.00
  234.6, 0.00, 0.00
  235.8, 0.00, 0.00
  237.1, 0.00, 0.01
  238.4, 0.00, 0.00
  239.7, 0.00, 0.00
  241.0, 0.00, 0.00
  242.3, 0.00, 0.00
  243.6, 0.00, 0.00
  244.9, 0.00, 0.00
  246.2, 0.00, 0.00
  247.4, 0.00, 0.00
  248.7, 0.00, 0.00
  250.0, 0.00, 0.00
  251.3, 0.00, 0.00
  252.6, 0.00, 0.00
  253.9, 0.00, 0.00
  255.2, 0.00, 0.00
  256.5, 0.00, 0.00
  257.7, 0.00, 0.00
  259.0, 0.00, 0.01
  260.3, 0.00, 0.00
  261.6, 0.00, 0.00
  262.9, 0.00, 0.00
  264.2, 0.00, 0.01
  265.5, 0.00, 0.00
  266.8, 0.00, 0.00
  268.0, 0.00, 0.00
  269.3, 0.00, 0.00
  270.6, 0.00, 0.00
  271.9, 0.00, 0.00
  273.2, 0.00, 0.00
  274.5, 0.00, 0.00
  275.8, 0.00, 0.00
  277.1, 0.00, 0.00
  278.4, 0.00, 0.00
  279.6, 0.00, 0.00
  280.9, 0.00, 0.00
  282.2, 0.00, 0.00
  283.5, 0.00, 0.00
  284.8, 0.00, 0.00
  286.1, 0.00, 0.00
  287.4, 0.00, 0.00
  288.7, 0.00, 0.00
  289.9, 0.00,-0.00
  291.2, 0.00, 0.00
  292.5, 0.00, 0.00
  293.8, 0.00,-0.00
  295.1, 0.00, 0.00
  296.4, 0.00, 0.00
  297.7, 0.00,-0.00
