Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
158,-396.67,    0.0006,    0.0032
159,-395.38,    0.0004,    0.0017
160,-394.09,    0.0009,    0.0030
161,-392.80,    0.0006,    0.0046
162,-391.52,    0.0009,    0.0055
163,-390.23,    0.0007,    0.0031
164,-388.94,    0.0009,   -0.0006
165,-387.65,    0.0008,    0.0006
166,-386.36,    0.0006,    0.0018
167,-385.08,    0.0006,    0.0046
168,-383.79,    0.0008,    0.0023
169,-382.50,    0.0005,    0.0002
170,-381.21,    0.0002,   -0.0014
171,-379.92,    0.0005,   -0.0006
172,-378.63,    0.0006,   -0.0017
173,-377.35,    0.0004,    0.0008
174,-376.06,    0.0002,   -0.0024
175,-374.77,    0.0003,   -0.0000
176,-373.48,    0.0001,    0.0008
177,-372.19,   -0.0000,   -0.0005
178,-370.90,    0.0007,   -0.0023
179,-369.62,    0.0011,    0.0002
180,-368.33,    0.0007,    0.0002
181,-367.04,    0.0005,    0.0009
182,-365.75,    0.0004,   -0.0007
183,-364.46,    0.0009,   -0.0006
184,-363.18,    0.0010,    0.0007
185,-361.89,    0.0006,    0.0014
186,-360.60,    0.0010,   -0.0004
187,-359.31,    0.0007,    0.0021
188,-358.02,    0.0013,    0.0017
189,-356.73,    0.0010,    0.0034
190,-355.45,    0.0012,    0.0026
191,-354.16,    0.0010,   -0.0003
192,-352.87,    0.0014,   -0.0027
193,-351.58,    0.0013,   -0.0007
194,-350.29,    0.0011,   -0.0007
195,-349.01,    0.0009,   -0.0019
196,-347.72,    0.0010,   -0.0006
197,-346.43,    0.0009,   -0.0004
198,-345.14,    0.0012,    0.0024
199,-343.85,    0.0008,    0.0059
200,-342.56,    0.0009,    0.0055
201,-341.28,    0.0009,    0.0047
202,-339.99,    0.0001,    0.0031
203,-338.70,    0.0007,    0.0024
204,-337.41,    0.0009,    0.0040
205,-336.12,    0.0002,    0.0011
206,-334.83,    0.0004,    0.0023
207,-333.55,   -0.0001,    0.0038
208,-332.26,    0.0001,    0.0024
209,-330.97,   -0.0000,    0.0001
210,-329.68,    0.0001,    0.0024
211,-328.39,    0.0005,    0.0033
212,-327.11,   -0.0001,    0.0011
213,-325.82,    0.0005,    0.0010
214,-324.53,    0.0016,   -0.0002
215,-323.24,    0.0017,    0.0004
216,-321.95,    0.0017,    0.0021
217,-320.66,    0.0019,    0.0033
218,-319.38,    0.0021,    0.0049
219,-318.09,    0.0017,    0.0024
220,-316.80,    0.0025,    0.0074
221,-315.51,    0.0029,    0.0040
222,-314.22,    0.0032,    0.0055
223,-312.94,    0.0029,    0.0075
224,-311.65,    0.0023,    0.0076
225,-310.36,    0.0029,    0.0094
226,-309.07,    0.0033,    0.0066
227,-307.78,    0.0034,    0.0041
228,-306.49,    0.0040,    0.0047
229,-305.21,    0.0042,    0.0055
230,-303.92,    0.0042,    0.0077
231,-302.63,    0.0041,    0.0072
232,-301.34,    0.0032,    0.0047
233,-300.05,    0.0034,    0.0027
234,-298.76,    0.0026,    0.0033
235,-297.48,    0.0022,    0.0055
236,-296.19,    0.0024,    0.0062
237,-294.90,    0.0023,    0.0005
238,-293.61,    0.0023,    0.0021
239,-292.32,    0.0021,    0.0031
240,-291.04,    0.0025,    0.0002
241,-289.75,    0.0022,    0.0059
242,-288.46,    0.0020,    0.0066
243,-287.17,    0.0024,    0.0075
244,-285.88,    0.0025,    0.0079
245,-284.59,    0.0022,    0.0072
246,-283.31,    0.0022,    0.0070
247,-282.02,    0.0021,    0.0032
248,-280.73,    0.0022,    0.0005
249,-279.44,    0.0020,    0.0019
250,-278.15,    0.0019,    0.0016
251,-276.87,    0.0019,    0.0002
252,-275.58,    0.0013,   -0.0004
253,-274.29,    0.0015,   -0.0029
254,-273.00,    0.0015,   -0.0044
255,-271.71,    0.0013,   -0.0037
256,-270.42,    0.0014,   -0.0007
257,-269.14,    0.0013,    0.0003
258,-267.85,    0.0007,    0.0019
259,-266.56,    0.0012,    0.0004
260,-265.27,    0.0006,    0.0001
261,-263.98,    0.0010,   -0.0029
262,-262.69,    0.0006,   -0.0026
263,-261.41,    0.0005,   -0.0007
264,-260.12,   -0.0001,    0.0036
265,-258.83,   -0.0003,    0.0017
266,-257.54,   -0.0002,    0.0050
267,-256.25,   -0.0003,    0.0012
268,-254.97,   -0.0004,   -0.0000
269,-253.68,   -0.0001,   -0.0005
270,-252.39,   -0.0000,    0.0021
271,-251.10,   -0.0004,    0.0020
272,-249.81,   -0.0001,    0.0002
273,-248.52,    0.0001,    0.0014
274,-247.24,   -0.0006,    0.0011
275,-245.95,   -0.0002,    0.0008
276,-244.66,   -0.0005,    0.0029
277,-243.37,   -0.0008,    0.0042
278,-242.08,   -0.0007,    0.0005
279,-240.80,   -0.0005,    0.0020
280,-239.51,   -0.0008,    0.0048
281,-238.22,   -0.0006,    0.0058
282,-236.93,   -0.0004,    0.0054
283,-235.64,    0.0001,    0.0067
284,-234.35,   -0.0003,    0.0098
285,-233.07,   -0.0001,    0.0092
286,-231.78,    0.0002,    0.0124
287,-230.49,   -0.0003,    0.0169
288,-229.20,   -0.0001,    0.0202
289,-227.91,    0.0006,    0.0259
290,-226.62,    0.0002,    0.0265
291,-225.34,    0.0005,    0.0306
292,-224.05,    0.0003,    0.0386
293,-222.76,    0.0003,    0.0472
294,-221.47,    0.0013,    0.0565
295,-220.18,    0.0011,    0.0675
296,-218.90,    0.0011,    0.0764
297,-217.61,    0.0009,    0.0908
298,-216.32,    0.0009,    0.1012
299,-215.03,    0.0017,    0.1153
300,-213.74,    0.0017,    0.1270
301,-212.45,    0.0014,    0.1445
302,-211.17,    0.0018,    0.1593
303,-209.88,    0.0014,    0.1714
304,-208.59,    0.0021,    0.1831
305,-207.30,    0.0025,    0.1979
306,-206.01,    0.0021,    0.2100
307,-204.73,    0.0024,    0.2264
308,-203.44,    0.0027,    0.2416
309,-202.15,    0.0024,    0.2522
310,-200.86,    0.0026,    0.2566
311,-199.57,    0.0031,    0.2582
312,-198.28,    0.0030,    0.2675
313,-197.00,    0.0034,    0.2596
314,-195.71,    0.0033,    0.2479
315,-194.42,    0.0035,    0.2358
316,-193.13,    0.0029,    0.2271
317,-191.84,    0.0031,    0.2172
318,-190.55,    0.0040,    0.2075
319,-189.27,    0.0035,    0.1956
