Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
706, 309.27,   -0.0009,   -0.0007
707, 310.56,    0.0001,   -0.0020
708, 311.85,   -0.0002,    0.0004
709, 313.14,   -0.0006,   -0.0011
710, 314.43,    0.0001,   -0.0006
711, 315.71,   -0.0006,    0.0032
712, 317.00,   -0.0000,    0.0047
713, 318.29,   -0.0002,    0.0009
714, 319.58,   -0.0004,    0.0049
715, 320.87,   -0.0000,    0.0038
716, 322.15,   -0.0003,    0.0029
717, 323.44,   -0.0008,    0.0014
718, 324.73,   -0.0005,    0.0016
719, 326.02,    0.0001,    0.0025
720, 327.31,    0.0003,    0.0031
721, 328.60,    0.0006,    0.0018
722, 329.88,   -0.0003,    0.0000
723, 331.17,    0.0001,    0.0019
724, 332.46,    0.0005,    0.0005
725, 333.75,   -0.0003,   -0.0006
726, 335.04,   -0.0013,   -0.0005
727, 336.33,   -0.0019,   -0.0012
728, 337.61,   -0.0015,   -0.0001
729, 338.90,   -0.0006,    0.0005
730, 340.19,   -0.0008,   -0.0003
731, 341.48,   -0.0008,    0.0007
732, 342.77,   -0.0016,    0.0023
733, 344.05,   -0.0018,   -0.0017
734, 345.34,   -0.0020,   -0.0003
735, 346.63,   -0.0017,    0.0018
736, 347.92,   -0.0013,   -0.0008
737, 349.21,   -0.0020,   -0.0012
738, 350.50,   -0.0022,   -0.0027
739, 351.78,   -0.0019,   -0.0015
740, 353.07,   -0.0015,    0.0029
741, 354.36,   -0.0019,   -0.0041
742, 355.65,   -0.0014,   -0.0019
743, 356.94,   -0.0012,   -0.0049
744, 358.22,   -0.0004,   -0.0030
745, 359.51,    0.0001,   -0.0042
746, 360.80,    0.0007,   -0.0006
747, 362.09,    0.0004,   -0.0015
748, 363.38,    0.0004,    0.0003
749, 364.67,    0.0006,    0.0004
750, 365.95,    0.0013,   -0.0001
751, 367.24,    0.0010,    0.0006
752, 368.53,    0.0005,    0.0012
753, 369.82,    0.0017,    0.0006
754, 371.11,    0.0009,    0.0042
755, 372.40,    0.0007,    0.0005
756, 373.68,    0.0004,    0.0011
757, 374.97,    0.0002,   -0.0002
758, 376.26,    0.0006,    0.0001
759, 377.55,    0.0003,    0.0027
760, 378.84,    0.0001,    0.0026
761, 380.12,    0.0003,    0.0014
762, 381.41,    0.0001,    0.0011
763, 382.70,    0.0007,    0.0028
764, 383.99,    0.0013,    0.0023
765, 385.28,    0.0011,    0.0038
766, 386.57,    0.0017,    0.0034
767, 387.85,    0.0017,    0.0045
768, 389.14,    0.0020,    0.0042
769, 390.43,    0.0018,    0.0046
770, 391.72,    0.0021,    0.0051
771, 393.01,    0.0019,    0.0028
772, 394.29,    0.0025,    0.0091
773, 395.58,    0.0020,    0.0098
774, 396.87,    0.0020,    0.0049
775, 398.16,    0.0022,    0.0072
776, 399.45,    0.0025,    0.0103
777, 400.74,    0.0031,    0.0101
778, 402.02,    0.0023,    0.0088
779, 403.31,    0.0027,    0.0088
780, 404.60,    0.0027,    0.0091
781, 405.89,    0.0027,    0.0088
782, 407.18,    0.0023,    0.0064
783, 408.47,    0.0025,    0.0073
784, 409.75,    0.0024,    0.0048
785, 411.04,    0.0024,    0.0051
786, 412.33,    0.0026,    0.0066
787, 413.62,    0.0028,    0.0043
788, 414.91,    0.0030,    0.0004
789, 416.19,    0.0030,   -0.0000
790, 417.48,    0.0032,    0.0002
791, 418.77,    0.0028,    0.0025
792, 420.06,    0.0031,    0.0013
793, 421.35,    0.0030,   -0.0030
794, 422.64,    0.0031,   -0.0035
795, 423.92,    0.0027,   -0.0006
796, 425.21,    0.0024,   -0.0031
797, 426.50,    0.0022,   -0.0014
798, 427.79,    0.0027,   -0.0002
799, 429.08,    0.0025,   -0.0026
800, 430.36,    0.0025,   -0.0029
801, 431.65,    0.0020,   -0.0025
802, 432.94,    0.0021,   -0.0040
803, 434.23,    0.0018,   -0.0007
804, 435.52,    0.0023,   -0.0028
805, 436.81,    0.0022,   -0.0050
806, 438.09,    0.0020,   -0.0029
807, 439.38,    0.0019,   -0.0003
808, 440.67,    0.0017,   -0.0037
809, 441.96,    0.0021,   -0.0014
810, 443.25,    0.0020,    0.0011
811, 444.54,    0.0019,    0.0013
812, 445.82,    0.0015,   -0.0006
813, 447.11,    0.0009,    0.0014
814, 448.40,    0.0008,   -0.0000
815, 449.69,    0.0006,   -0.0004
816, 450.98,    0.0007,   -0.0047
817, 452.26,    0.0005,   -0.0076
818, 453.55,    0.0003,   -0.0040
819, 454.84,    0.0003,   -0.0036
820, 456.13,   -0.0001,   -0.0038
821, 457.42,    0.0002,   -0.0045
822, 458.71,    0.0003,   -0.0015
823, 459.99,    0.0002,   -0.0006
824, 461.28,    0.0001,   -0.0025
825, 462.57,   -0.0001,   -0.0042
826, 463.86,   -0.0003,   -0.0028
827, 465.15,   -0.0005,   -0.0003
828, 466.43,    0.0002,   -0.0028
829, 467.72,   -0.0004,   -0.0049
830, 469.01,   -0.0003,   -0.0041
831, 470.30,   -0.0007,   -0.0022
832, 471.59,    0.0000,   -0.0005
833, 472.88,   -0.0004,   -0.0006
834, 474.16,   -0.0000,   -0.0020
835, 475.45,   -0.0002,   -0.0025
836, 476.74,   -0.0003,   -0.0009
837, 478.03,   -0.0002,   -0.0007
838, 479.32,   -0.0003,    0.0002
839, 480.61,    0.0001,    0.0005
840, 481.89,    0.0006,    0.0003
841, 483.18,    0.0009,    0.0008
842, 484.47,    0.0007,    0.0023
843, 485.76,    0.0005,    0.0036
844, 487.05,    0.0007,    0.0048
845, 488.33,    0.0013,    0.0031
846, 489.62,    0.0012,    0.0050
847, 490.91,    0.0016,    0.0060
848, 492.20,    0.0019,    0.0061
849, 493.49,    0.0020,    0.0092
850, 494.78,    0.0035,    0.0082
851, 496.06,    0.0035,    0.0075
852, 497.35,    0.0016,    0.0065
853, 498.64,   -0.0007,    0.0058
854, 499.93,    0.0000,    0.0099
855, 501.22,    0.0000,    0.0080
856, 502.50,    0.0000,    0.0045
857, 503.79,    0.0000,    0.0055
858, 505.08,    0.0000,    0.0051
859, 506.37,    0.0000,    0.0064
860, 507.66,    0.0000,    0.0047
861, 508.95,    0.0000,    0.0044
862, 510.23,    0.0000,    0.0023
863, 511.52,    0.0000,    0.0042
864, 512.81,    0.0000,    0.0048
865, 514.10,    0.0000,    0.0043
866, 515.39,    0.0000,    0.0051
867, 516.68,    0.0000,    0.0049
868, 517.96,    0.0000,    0.0048
869, 519.25,    0.0000,    0.0039
870, 520.54,    0.0000,    0.0040
871, 521.83,    0.0000,    0.0034
872, 523.12,    0.0000,    0.0022
873, 524.40,    0.0000,    0.0045
874, 525.69,    0.0000,    0.0049
875, 526.98,    0.0000,    0.0051
876, 528.27,    0.0000,    0.0036
877, 529.56,    0.0000,    0.0038
878, 530.85,    0.0000,    0.0022
879, 532.13,    0.0000,    0.0038
880, 533.42,    0.0000,    0.0047
881, 534.71,    0.0000,   -0.0004
882, 536.00,    0.0000,   -0.0004
883, 537.29,    0.0000,    0.0010
884, 538.57,    0.0000,    0.0000
885, 539.86,    0.0000,    0.0015
886, 541.15,    0.0000,    0.0007
887, 542.44,    0.0000,   -0.0002
888, 543.73,    0.0000,    0.0012
889, 545.02,    0.0000,   -0.0003
890, 546.30,    0.0000,    0.0012
891, 547.59,    0.0000,   -0.0008
892, 548.88,    0.0000,   -0.0002
893, 550.17,    0.0000,   -0.0011
894, 551.46,    0.0000,    0.0001
895, 552.75,    0.0000,   -0.0017
896, 554.03,    0.0000,   -0.0012
897, 555.32,    0.0000,   -0.0018
898, 556.61,    0.0000,   -0.0016
899, 557.90,    0.0000,   -0.0005
900, 559.19,    0.0000,   -0.0040
901, 560.47,    0.0000,   -0.0018
902, 561.76,    0.0000,   -0.0020
903, 563.05,    0.0000,   -0.0011
904, 564.34,   -0.0000,   -0.0019
905, 565.63,    0.0000,   -0.0029
906, 566.92,    0.0000,   -0.0026
907, 568.20,    0.0000,   -0.0032
908, 569.49,    0.0000,    0.0011
909, 570.78,   -0.0000,   -0.0025
910, 572.07,   -0.0000,   -0.0032
911, 573.36,    0.0000,   -0.0019
912, 574.64,    0.0000,    0.0003
913, 575.93,    0.0000,   -0.0007
914, 577.22,   -0.0000,    0.0014
915, 578.51,   -0.0000,   -0.0004
916, 579.80,   -0.0000,    0.0002
917, 581.09,   -0.0000,   -0.0048
918, 582.37,    0.0000,   -0.0039
919, 583.66,   -0.0000,   -0.0050
920, 584.95,    0.0000,   -0.0014
921, 586.24,    0.0000,   -0.0023
922, 587.53,    0.0000,   -0.0026
923, 588.82,    0.0000,   -0.0025
924, 590.10,    0.0000,   -0.0013
925, 591.39,    0.0000,   -0.0007
926, 592.68,    0.0000,    0.0002
927, 593.97,    0.0000,   -0.0003
928, 595.26,    0.0000,   -0.0016
929, 596.54,    0.0000,    0.0015
930, 597.83,    0.0000,    0.0015
931, 599.12,    0.0000,    0.0024
932, 600.41,    0.0000,    0.0010
